epoch,step,train_loss2,train_loss1,train_acc1,test_acc,train_acc2
40,15989,,,0.7652443647384644,0.8596000075340271,0.7643229365348816
41,15999,0.1561564952135086,0.16067630052566528,,,
41,16049,0.12164999544620514,0.14552265405654907,,,
41,16099,0.5033012628555298,0.4697250425815582,,,
41,16149,0.26417896151542664,0.24071469902992249,,,
41,16199,0.35848701000213623,0.32108598947525024,,,
41,16249,0.18404516577720642,0.18510612845420837,,,
41,16299,0.17352265119552612,0.17358016967773438,,,
41,16349,0.29107794165611267,0.362509548664093,,,
41,16379,,,0.763982355594635,0.8435999751091003,0.7623397707939148
42,16399,0.15462836623191833,0.17570459842681885,,,
42,16449,0.19212064146995544,0.18163356184959412,,,
42,16499,0.1571865975856781,0.18882477283477783,,,
42,16549,0.24325497448444366,0.2668260335922241,,,
42,16599,0.5251574516296387,0.5236968994140625,,,
42,16649,0.17151695489883423,0.16129401326179504,,,
42,16699,0.15058937668800354,0.1700214147567749,,,
42,16749,0.16552384197711945,0.16559505462646484,,,
42,16769,,,0.7667668461799622,0.8604999780654907,0.7623798251152039
43,16799,0.24123191833496094,0.22372552752494812,,,
43,16849,0.19526322185993195,0.19590377807617188,,,
43,16899,0.1498202532529831,0.15739475190639496,,,
43,16949,0.13930122554302216,0.15113717317581177,,,
43,16999,0.2564637064933777,0.270805686712265,,,
43,17049,0.16140782833099365,0.17383389174938202,,,
43,17099,0.18708541989326477,0.16772298514842987,,,
43,17149,0.20994721353054047,0.20595955848693848,,,
43,17159,,,0.7673677802085876,0.8537999987602234,0.7668870091438293
44,17199,0.178146630525589,0.16398540139198303,,,
44,17249,0.20081229507923126,0.2008846253156662,,,
44,17299,0.2552908957004547,0.20636631548404694,,,
44,17349,0.5589125156402588,0.5819343328475952,,,
44,17399,0.35186582803726196,0.3611183762550354,,,
44,17449,0.14578306674957275,0.16419902443885803,,,
44,17499,0.21274954080581665,0.21698325872421265,,,
44,17549,0.24559858441352844,0.23620256781578064,,,
44,17549,,,0.7667267918586731,0.8461999893188477,0.7716146111488342
45,17599,0.13530667126178741,0.11781463027000427,,,
45,17649,0.27019554376602173,0.22751152515411377,,,
45,17699,0.22797127068042755,0.19417136907577515,,,
45,17749,0.137741819024086,0.11685530841350555,,,
45,17799,0.19567489624023438,0.19519458711147308,,,
45,17849,0.26869356632232666,0.23392589390277863,,,
45,17899,0.27385029196739197,0.22551320493221283,,,
45,17939,,,0.7704727649688721,0.8654999732971191,0.7705729007720947
46,17949,0.22357529401779175,0.2675001621246338,,,
46,17999,0.2514106035232544,0.2707698941230774,,,
46,18049,0.23939350247383118,0.2306094765663147,,,
46,18099,0.25403037667274475,0.2607710659503937,,,
46,18149,0.2422451227903366,0.2520006597042084,,,
46,18199,0.23911280930042267,0.23134711384773254,,,
46,18249,0.17952486872673035,0.1464894711971283,,,
46,18299,0.2569461464881897,0.25307780504226685,,,
46,18329,,,0.7724759578704834,0.8698999881744385,0.7703725695610046
47,18349,0.26333582401275635,0.2228955626487732,,,
47,18399,0.26775652170181274,0.2904263436794281,,,
47,18449,0.1892440766096115,0.18442299962043762,,,
47,18499,0.17386697232723236,0.19105742871761322,,,
47,18549,0.15372486412525177,0.13305792212486267,,,
47,18599,0.2585661709308624,0.27520692348480225,,,
47,18649,0.4496863782405853,0.36872398853302,,,
47,18699,0.20541884005069733,0.2196575254201889,,,
47,18719,,,0.7716746926307678,0.86080002784729,0.7698116898536682
48,18749,0.18703915178775787,0.20381036400794983,,,
48,18799,0.15877565741539001,0.17399218678474426,,,
48,18849,0.1673528552055359,0.17350032925605774,,,
48,18899,0.19412100315093994,0.19338682293891907,,,
48,18949,0.485942006111145,0.5339297652244568,,,
48,18999,0.14643090963363647,0.14317400753498077,,,
48,19049,0.2315119355916977,0.264945387840271,,,
48,19099,0.3143526315689087,0.28007885813713074,,,
48,19109,,,0.7764623165130615,0.86080002784729,0.7750400900840759
49,19149,0.12298461049795151,0.1333540678024292,,,
49,19199,0.1847037971019745,0.1964147537946701,,,
49,19249,0.32093843817710876,0.3539912700653076,,,
49,19299,0.14187049865722656,0.16120502352714539,,,
49,19349,0.20540888607501984,0.1840895265340805,,,
49,19399,0.1983807384967804,0.16630251705646515,,,
49,19449,0.2528701424598694,0.2498306930065155,,,
49,19499,0.21822980046272278,0.2065974324941635,,,
49,19499,,,0.772576093673706,0.8751999735832214,0.7768028974533081
50,19549,0.2682681977748871,0.230425626039505,,,
50,19599,0.26651400327682495,0.280525267124176,,,
50,19649,0.24553769826889038,0.23379306495189667,,,
50,19699,0.13221421837806702,0.11798786371946335,,,
50,19749,0.1810731589794159,0.14943856000900269,,,
50,19799,0.23039911687374115,0.2583930492401123,,,
50,19849,0.216783806681633,0.23801261186599731,,,
50,19889,,,0.7773036956787109,0.864300012588501,0.7752603888511658
51,19899,0.3039492964744568,0.317699670791626,,,
51,19949,0.1529109627008438,0.1819089949131012,,,
51,19999,0.17080596089363098,0.19034388661384583,,,
51,20049,0.17764078080654144,0.17395801842212677,,,
51,20099,0.22552688419818878,0.23081442713737488,,,
51,20149,0.17713041603565216,0.19303393363952637,,,
51,20199,0.2386416345834732,0.22691470384597778,,,
51,20249,0.25413307547569275,0.24959515035152435,,,
51,20279,,,0.7727563977241516,0.8560000061988831,0.7751602530479431
52,20299,0.20682337880134583,0.21069128811359406,,,
52,20349,0.3475974202156067,0.3389895558357239,,,
52,20399,0.18409554660320282,0.19235043227672577,,,
52,20449,0.2503817081451416,0.23434048891067505,,,
52,20499,0.26746833324432373,0.2778324782848358,,,
52,20549,0.20238688588142395,0.1974959671497345,,,
52,20599,0.26064085960388184,0.2366981953382492,,,
52,20649,0.17137496173381805,0.19264206290245056,,,
52,20669,,,0.7782852649688721,0.8745999932289124,0.7779847979545593
53,20699,0.2644609212875366,0.25172871351242065,,,
53,20749,0.3399812579154968,0.359499990940094,,,
53,20799,0.16943524777889252,0.15273113548755646,,,
53,20849,0.1821110099554062,0.1453997641801834,,,
53,20899,0.17071174085140228,0.16186568140983582,,,
53,20949,0.2017921507358551,0.20822139084339142,,,
53,20999,0.18227021396160126,0.19339795410633087,,,
53,21049,0.2386932075023651,0.2379445731639862,,,
53,21059,,,0.778866171836853,0.8780999779701233,0.7798076868057251
54,21099,0.22074000537395477,0.2147793471813202,,,
54,21149,0.16892080008983612,0.16889232397079468,,,
54,21199,0.198143869638443,0.21360933780670166,,,
54,21249,0.2615669071674347,0.2648555338382721,,,
54,21299,0.19762222468852997,0.18064796924591064,,,
54,21349,0.2262195199728012,0.19930289685726166,,,
54,21399,0.17393963038921356,0.16130127012729645,,,
54,21449,0.15659412741661072,0.16441425681114197,,,
54,21449,,,0.7807492017745972,0.8770999908447266,0.780348539352417
55,21499,0.18784768879413605,0.18679755926132202,,,
55,21549,0.25621917843818665,0.2701050043106079,,,
55,21599,0.239948570728302,0.27122217416763306,,,
55,21649,0.24243418872356415,0.22421380877494812,,,
55,21699,0.2736557424068451,0.2531544864177704,,,
55,21749,0.18173426389694214,0.19499580562114716,,,
55,21799,0.2653181254863739,0.27924302220344543,,,
55,21839,,,0.783673882484436,0.8664000034332275,0.7736378312110901
56,21849,0.2092646062374115,0.2256317138671875,,,
56,21899,0.1909022182226181,0.19769106805324554,,,
56,21949,0.16477641463279724,0.17095986008644104,,,
56,21999,0.28039979934692383,0.2845620810985565,,,
56,22049,0.19213709235191345,0.1685962677001953,,,
56,22099,0.1513746827840805,0.16599304974079132,,,
56,22149,0.14466971158981323,0.13006985187530518,,,
56,22199,0.5293673872947693,0.46699047088623047,,,
