epoch,train_loss,step,val_loss,val_acc,test_acc,train_acc
79,-0.3528621196746826,24749,,,,
79,-0.334779292345047,24799,,,,
79,-0.3623911142349243,24849,,,,
79,-0.3279765248298645,24899,,,,
79,-0.18802142143249512,24949,,,,
79,-0.24399113655090332,24999,,,,
79,,25039,0.4549478590488434,0.857699990272522,,
79,,25039,,,0.8317840099334717,0.909974992275238
80,-0.29715287685394287,25049,,,,
80,-0.3352382183074951,25099,,,,
80,-0.24470654129981995,25149,,,,
80,-0.34267657995224,25199,,,,
80,-0.13681736588478088,25249,,,,
80,-0.1884450614452362,25299,,,,
80,-0.26368826627731323,25349,,,,
80,,25352,0.481799840927124,0.850600004196167,,
80,,25352,,,0.8186313509941101,0.9147999882698059
81,-0.3262864947319031,25399,,,,
81,-0.28345978260040283,25449,,,,
81,-0.3188598155975342,25499,,,,
81,-0.24530109763145447,25549,,,,
81,-0.31808197498321533,25599,,,,
81,-0.19078457355499268,25649,,,,
81,,25665,0.48880693316459656,0.8482999801635742,,
81,,25665,,,0.8211036324501038,0.9138749837875366
82,-0.2612277567386627,25699,,,,
82,-0.3254789113998413,25749,,,,
82,-0.3589807152748108,25799,,,,
82,-0.08881521224975586,25849,,,,
82,-0.26002591848373413,25899,,,,
82,-0.056767433881759644,25949,,,,
82,,25978,0.48906898498535156,0.8514000177383423,,
82,,25978,,,0.8289161324501038,0.9154750108718872
83,-0.2861240804195404,25999,,,,
83,-0.29382970929145813,26049,,,,
83,-0.15158328413963318,26099,,,,
83,-0.3020172119140625,26149,,,,
83,-0.4089736044406891,26199,,,,
83,-0.3082873821258545,26249,,,,
83,,26291,0.4915233850479126,0.8511999845504761,,
83,,26291,,,0.8241692781448364,0.9165499806404114
