step,epoch,train_loss,train_acc,test_acc
25049,64,0.6740897297859192,,
25099,64,0.6303888559341431,,
25149,64,0.597262442111969,,
25199,64,0.5680212378501892,,
25249,64,0.7419852018356323,,
25299,64,0.889893114566803,,
25349,64,0.7842944264411926,,
25349,64,,0.817187488079071,0.8938000202178955
25399,65,0.771554708480835,,
25449,65,0.6644011735916138,,
25499,65,0.9101493954658508,,
25549,65,0.46941617131233215,,
25599,65,0.6180722713470459,,
25649,65,0.8745014071464539,,
25699,65,0.5386525988578796,,
25739,65,,0.820472776889801,0.897599995136261
25749,66,0.6703407764434814,,
25799,66,0.7222748398780823,,
25849,66,0.5743820667266846,,
25899,66,0.681492030620575,,
25949,66,0.5775998830795288,,
25999,66,0.593476414680481,,
26049,66,0.6183174252510071,,
26099,66,0.6882502436637878,,
26129,66,,0.8240985870361328,0.8916000127792358
26149,67,0.6726043224334717,,
26199,67,0.6635773181915283,,
26249,67,0.6866986751556396,,
26299,67,0.6703335642814636,,
26349,67,0.5965068936347961,,
26399,67,0.5549044609069824,,
26449,67,0.6750707030296326,,
26499,67,0.7000356912612915,,
26519,67,,0.8279847502708435,0.8838000297546387
26549,68,0.5012825131416321,,
26599,68,0.694389283657074,,
26649,68,0.5078271627426147,,
26699,68,0.7154377698898315,,
26749,68,0.8882352709770203,,
26799,68,0.5766347646713257,,
26849,68,0.5660945177078247,,
26899,68,0.8539180755615234,,
26909,68,,0.8308092951774597,0.8712999820709229
26949,69,0.7020837664604187,,
26999,69,0.5757169127464294,,
27049,69,0.6460133194923401,,
27099,69,0.5142896175384521,,
27149,69,0.749351441860199,,
27199,69,0.8037158250808716,,
27249,69,0.6263179779052734,,
27299,69,0.696519672870636,,
27299,69,,0.8336939215660095,0.8640000224113464
27349,70,0.5584225654602051,,
27399,70,0.7691618800163269,,
27449,70,0.6296334266662598,,
27499,70,0.7126325368881226,,
27549,70,0.6301431655883789,,
27599,70,0.49650031328201294,,
27649,70,0.6576405167579651,,
27689,70,,0.8378806114196777,0.8727999925613403
27699,71,0.4989466965198517,,
27749,71,0.579969048500061,,
27799,71,0.47537899017333984,,
27849,71,0.6046087741851807,,
27899,71,0.5742775201797485,,
27949,71,0.5836003422737122,,
27999,71,0.7046389579772949,,
28049,71,0.5507605075836182,,
28079,71,,0.8399238586425781,0.8751000165939331
28099,72,0.5738252997398376,,
28149,72,0.8009900450706482,,
28199,72,0.461519718170166,,
28249,72,0.6436939835548401,,
28299,72,0.6656377911567688,,
28349,72,0.5144137144088745,,
28399,72,0.7780993580818176,,
28449,72,0.5684794187545776,,
28469,72,,0.8417668342590332,0.8740000128746033
28499,73,0.5371948480606079,,
28549,73,0.49492090940475464,,
28599,73,0.48930656909942627,,
28649,73,0.4383222758769989,,
28699,73,0.6280072331428528,,
28749,73,0.6619790196418762,,
28799,73,0.7537493109703064,,
28849,73,0.7753005027770996,,
28859,73,,0.8448718190193176,0.86080002784729
28899,74,0.610180675983429,,
28949,74,0.6907000541687012,,
28999,74,0.44436776638031006,,
29049,74,0.508301317691803,,
29099,74,0.5251401662826538,,
29149,74,0.5833433270454407,,
29199,74,0.776150643825531,,
29249,74,0.40488895773887634,,
29249,74,,0.846915066242218,0.8664000034332275
29299,75,0.5952101945877075,,
29349,75,0.503375768661499,,
29399,75,0.6875832676887512,,
29449,75,0.5826063752174377,,
29499,75,0.6392629146575928,,
29549,75,0.5950009226799011,,
29599,75,0.675753653049469,,
29639,75,,0.8463942408561707,0.8629999756813049
29649,76,0.4701201021671295,,
29699,76,0.6445348262786865,,
29749,76,0.520379364490509,,
29799,76,0.6505831480026245,,
29849,76,0.6986189484596252,,
29899,76,0.5440276265144348,,
29949,76,0.6862118244171143,,
29999,76,0.5746646523475647,,
30029,76,,0.8487980961799622,0.8468999862670898
30049,77,0.4247645139694214,,
30099,77,0.6681755185127258,,
30149,77,0.6522026658058167,,
30199,77,0.510170578956604,,
30249,77,0.5465720295906067,,
30299,77,0.4779335856437683,,
30349,77,0.6287879347801208,,
30399,77,0.523590624332428,,
30419,77,,0.8516426086425781,0.8529999852180481
30449,78,0.5857018828392029,,
30499,78,0.5659635663032532,,
30549,78,0.6174157857894897,,
30599,78,0.5525491237640381,,
30649,78,0.5765982866287231,,
30699,78,0.4731792211532593,,
30749,78,0.5582081079483032,,
30799,78,0.5494568943977356,,
30809,78,,0.8526642918586731,0.8569999933242798
30849,79,0.40912121534347534,,
30899,79,0.4085950553417206,,
30949,79,0.36073777079582214,,
30999,79,0.5449225306510925,,
31049,79,0.5186258554458618,,
31099,79,0.5156768560409546,,
31149,79,0.48148176074028015,,
31199,79,0.8662163019180298,,
31199,79,,0.8556690812110901,0.8549000024795532
31249,80,0.4247409701347351,,
31299,80,0.5210633277893066,,
31349,80,0.424815833568573,,
31399,80,0.6216166615486145,,
31449,80,0.4885053038597107,,
31499,80,0.3999427855014801,,
31549,80,0.35429102182388306,,
31589,80,,0.8567507863044739,0.8446999788284302
31599,81,0.5249184966087341,,
31649,81,0.5461682081222534,,
31699,81,0.4850754141807556,,
31749,81,0.4650249481201172,,
31799,81,0.4490461051464081,,
31849,81,0.579069197177887,,
31899,81,0.5300264358520508,,
31949,81,0.6526078581809998,,
31979,81,,0.8580929636955261,0.850600004196167
31999,82,0.5370534658432007,,
32049,82,0.5534855723381042,,
32099,82,0.3998968005180359,,
32149,82,0.5314956903457642,,
32199,82,0.43771931529045105,,
32249,82,0.383274108171463,,
32299,82,0.545109748840332,,
32349,82,0.4119265675544739,,
32369,82,,0.8606169819831848,0.8464000225067139
32399,83,0.5359514355659485,,
32449,83,0.5430079102516174,,
32499,83,0.48669806122779846,,
32549,83,0.37722542881965637,,
32599,83,0.572983980178833,,
32649,83,0.531827986240387,,
32699,83,0.5126521587371826,,
32749,83,0.5311468243598938,,
32759,83,,0.8630408644676208,0.8328999876976013
32799,84,0.5341584086418152,,
32849,84,0.5481420159339905,,
32899,84,0.4574117064476013,,
32949,84,0.49870145320892334,,
32999,84,0.4294719099998474,,
33049,84,0.3045961856842041,,
33099,84,0.38575056195259094,,
33149,84,0.6861269474029541,,
33149,84,,0.8636618852615356,0.8427000045776367
33199,85,0.589278519153595,,
33249,85,0.6581666469573975,,
33299,85,0.4353518784046173,,
33349,85,0.5245094299316406,,
33399,85,0.4618140757083893,,
33449,85,0.3410051465034485,,
33499,85,0.37307512760162354,,
33539,85,,0.8649038672447205,0.8499000072479248
33549,86,0.44171929359436035,,
33599,86,0.37960293889045715,,
33649,86,0.5903202891349792,,
33699,86,0.39792659878730774,,
33749,86,0.4977499842643738,,
33799,86,0.4369204342365265,,
33849,86,0.5203132629394531,,
33899,86,0.4613678753376007,,
33929,86,,0.8683493733406067,0.8392999768257141
33949,87,0.4141380786895752,,
33999,87,0.3882065415382385,,
34049,87,0.7020778656005859,,
34099,87,0.4541701674461365,,
34149,87,0.4745918810367584,,
34199,87,0.4449271261692047,,
34249,87,0.4298986494541168,,
34299,87,0.39100563526153564,,
34319,87,,0.868870198726654,0.8349999785423279
34349,88,0.2367793768644333,,
34399,88,0.3527604937553406,,
34449,88,0.4113399088382721,,
34499,88,0.5074740648269653,,
34549,88,0.44254758954048157,,
34599,88,0.40930089354515076,,
34649,88,0.3683314323425293,,
34699,88,0.47531071305274963,,
34709,88,,0.8729166388511658,0.8486999869346619
34749,89,0.21337495744228363,,
34799,89,0.41091203689575195,,
34849,89,0.4615096151828766,,
34899,89,0.3887445032596588,,
34949,89,0.3448605537414551,,
34999,89,0.6161345839500427,,
35049,89,0.38263797760009766,,
35099,89,0.4852781891822815,,
35099,89,,0.8748196959495544,0.8179000020027161
35149,90,0.37781405448913574,,
35199,90,0.34602272510528564,,
35249,90,0.5173882842063904,,
35299,90,0.2778446674346924,,
35349,90,0.4182206392288208,,
35399,90,0.4033554196357727,,
35449,90,0.6112556457519531,,
35489,90,,0.8760216236114502,0.838100016117096
35499,91,0.43983250856399536,,
35549,91,0.43163353204727173,,
35599,91,0.40005379915237427,,
35649,91,0.4604422450065613,,
35699,91,0.4294291138648987,,
35749,91,0.31102460622787476,,
35799,91,0.35288646817207336,,
35849,91,0.5976518392562866,,
35879,91,,0.8746193647384644,0.8324000239372253
35899,92,0.3178711533546448,,
35949,92,0.4555950164794922,,
35999,92,0.43220412731170654,,
36049,92,0.46647101640701294,,
36099,92,0.3757344186306,,
36149,92,0.5049414038658142,,
36199,92,0.38449570536613464,,
36249,92,0.4495827555656433,,
36269,92,,0.877263605594635,0.8302000164985657
36299,93,0.33778470754623413,,
36349,93,0.4386852979660034,,
36399,93,0.33156725764274597,,
36449,93,0.33745843172073364,,
36499,93,0.3280254900455475,,
36549,93,0.2481577843427658,,
36599,93,0.4602579176425934,,
36649,93,0.31294503808021545,,
36659,93,,0.8796073794364929,0.8205000162124634
36699,94,0.36257803440093994,,
36749,94,0.3209526240825653,,
36799,94,0.4252218008041382,,
36849,94,0.4282975196838379,,
