train_loss,epoch,step,val_acc,val_loss,test_acc,train_acc
,73,23087,,,0.6474999785423279,0.45034554600715637
1.7350728511810303,74,23099,,,,
1.7541037797927856,74,23149,,,,
1.7832823991775513,74,23199,,,,
1.6738451719284058,74,23249,,,,
1.6634682416915894,74,23299,,,,
1.7437381744384766,74,23349,,,,
1.763551115989685,74,23399,,,,
,74,23399,0.4512999951839447,1.6806881427764893,,
,74,23399,,,0.5920000076293945,0.4634164571762085
1.7694623470306396,75,23449,,,,
1.611270785331726,75,23499,,,,
1.8271442651748657,75,23549,,,,
1.7443424463272095,75,23599,,,,
1.6246275901794434,75,23649,,,,
1.6602531671524048,75,23699,,,,
,75,23711,0.49070000648498535,1.5845650434494019,,
,75,23711,,,0.6735000014305115,0.4774138629436493
1.4642044305801392,76,23749,,,,
1.6522077322006226,76,23799,,,,
1.5699034929275513,76,23849,,,,
1.5711599588394165,76,23899,,,,
1.4329893589019775,76,23949,,,,
1.4692848920822144,76,23999,,,,
,76,24023,0.4970000088214874,1.594254493713379,,
,76,24023,,,0.690500020980835,0.4966947138309479
1.3746201992034912,77,24049,,,,
1.4560004472732544,77,24099,,,,
1.5504930019378662,77,24149,,,,
1.4913043975830078,77,24199,,,,
1.4861533641815186,77,24249,,,,
1.4215764999389648,77,24299,,,,
,77,24335,0.4684999883174896,1.6488796472549438,,
,77,24335,,,0.6288999915122986,0.5065855383872986
1.28339684009552,78,24349,,,,
1.234571933746338,78,24399,,,,
1.1681952476501465,78,24449,,,,
1.3750696182250977,78,24499,,,,
1.2067813873291016,78,24549,,,,
1.3394159078598022,78,24599,,,,
,78,24647,0.5206999778747559,1.5460230112075806,,
,78,24647,,,0.7350000143051147,0.5143229365348816
0.955511748790741,79,24649,,,,
1.1914821863174438,79,24699,,,,
1.3637925386428833,79,24749,,,,
1.1837058067321777,79,24799,,,,
1.2664039134979248,79,24849,,,,
1.2855489253997803,79,24899,,,,
1.21902596950531,79,24949,,,,
,79,24959,0.5164999961853027,1.5638113021850586,,
,79,24959,,,0.7383000254631042,0.5178285241127014
0.840660572052002,80,24999,,,,
1.1506049633026123,80,25049,,,,
1.2620899677276611,80,25099,,,,
1.050015926361084,80,25149,,,,
0.9792790412902832,80,25199,,,,
0.995527982711792,80,25249,,,,
,80,25271,0.5121999979019165,1.6189063787460327,,
,80,25271,,,0.7267000079154968,0.5254156589508057
0.77433180809021,81,25299,,,,
1.1098958253860474,81,25349,,,,
1.0481070280075073,81,25399,,,,
1.125512957572937,81,25449,,,,
1.1584392786026,81,25499,,,,
1.0558316707611084,81,25549,,,,
,81,25583,0.5085999965667725,1.7090775966644287,,
,81,25583,,,0.7145000100135803,0.5246394276618958
0.9295815229415894,82,25599,,,,
0.9289484620094299,82,25649,,,,
0.7086753249168396,82,25699,,,,
