train_loss,step,epoch,val_acc,val_loss,train_acc,test_acc,mix_match_loss
,25493,53,0.08309999853372574,11.40551471710205,,,
,25493,53,,,,0.10000000149011612,
,25499,54,,,,,3.5882061638403684e-05
,25549,54,,,,,3.564365397323854e-05
,25599,54,,,,,3.5524441045708954e-05
,25649,54,,,,,3.5524441045708954e-05
,25699,54,,,,,3.540522448020056e-05
,25749,54,,,,,3.5166805901098996e-05
,25799,54,,,,,3.504759297356941e-05
,25849,54,,,,,3.504759297356941e-05
,25899,54,,,,,3.492840187391266e-05
,25949,54,,,,,3.468997965683229e-05
,25999,54,,,,,3.457077400526032e-05
,26049,54,,,,,3.457077400526032e-05
,26067,54,0.08309999853372574,11.43980884552002,,,
,26067,54,,,,0.10000000149011612,
,26099,55,,,,,3.445155743975192e-05
,26149,55,,,,,3.4213131584692746e-05
,26199,55,,,,,3.4093922295141965e-05
,26249,55,,,,,3.4093922295141965e-05
,26299,55,,,,,3.397470936761238e-05
,26349,55,,,,,3.385549644008279e-05
,26399,55,,,,,3.37362835125532e-05
,26449,55,,,,,3.3617077860981226e-05
,26499,55,,,,,3.3617077860981226e-05
,26549,55,,,,,3.337865200592205e-05
,26599,55,,,,,3.325943907839246e-05
,26641,55,0.08309999853372574,11.473695755004883,,,
,26641,55,,,,0.10000000149011612,
,26649,56,,,,,3.314025161671452e-05
,26699,56,,,,,3.314025161671452e-05
,26749,56,,,,,3.3021038689184934e-05
,26799,56,,,,,3.2901825761655346e-05
,26849,56,,,,,3.278262011008337e-05
,26899,56,,,,,3.266340718255378e-05
,26949,56,,,,,3.266340718255378e-05
,26999,56,,,,,3.2544197893003e-05
,27049,56,,,,,3.230577567592263e-05
,27099,56,,,,,3.2186562748393044e-05
,27149,56,,,,,3.2186562748393044e-05
,27199,56,,,,,3.206735345884226e-05
,27215,56,0.08309999853372574,11.506416320800781,,,
,27215,56,,,,0.10000000149011612,
,27249,57,,,,,3.206735345884226e-05
,27299,57,,,,,3.1948140531312674e-05
,27349,57,,,,,3.170972195221111e-05
,27399,57,,,,,3.170972195221111e-05
,27449,57,,,,,3.1590505386702716e-05
,27499,57,,,,,3.1590505386702716e-05
,27549,57,,,,,3.1471321563003585e-05
,27599,57,,,,,3.123289570794441e-05
,27649,57,,,,,3.123289570794441e-05
,27699,57,,,,,3.123289570794441e-05
,27749,57,,,,,3.111368641839363e-05
,27789,57,0.08309999853372574,11.535750389099121,,,
,27789,57,,,,0.10000000149011612,
,27799,58,,,,,3.099448076682165e-05
,27849,58,,,,,3.099448076682165e-05
,27899,58,,,,,3.0756054911762476e-05
,27949,58,,,,,3.0756054911762476e-05
