epoch,step,train_loss,train_acc,test_acc
78,30499,-13.87209415435791,,
78,30549,-14.969047546386719,,
78,30599,-14.79895305633545,,
78,30649,-15.744388580322266,,
78,30699,-14.979377746582031,,
78,30749,-14.196128845214844,,
78,30799,-12.287738800048828,,
78,30809,,0.8029847741127014,0.9111999869346619
79,30849,-14.566995620727539,,
79,30899,-13.72695541381836,,
79,30949,-14.358428955078125,,
79,30999,-14.001254081726074,,
79,31049,-14.47022819519043,,
79,31099,-14.317524909973145,,
79,31149,-13.416927337646484,,
79,31199,-14.20510482788086,,
79,31199,,0.8060095906257629,0.9125000238418579
80,31249,-14.48510456085205,,
80,31299,-14.96943473815918,,
80,31349,-12.012566566467285,,
80,31399,-12.579145431518555,,
80,31449,-14.017460823059082,,
80,31499,-12.072291374206543,,
80,31549,-10.256939888000488,,
80,31589,,0.7303886413574219,0.7796000242233276
81,31599,-12.502318382263184,,
81,31649,-13.62265396118164,,
81,31699,-11.969799041748047,,
81,31749,-12.372482299804688,,
81,31799,-12.62470531463623,,
81,31849,-12.825074195861816,,
81,31899,-13.195768356323242,,
81,31949,-12.818279266357422,,
81,31979,,0.7357372045516968,0.7973999977111816
82,31999,-12.915075302124023,,
82,32049,-12.33875560760498,,
82,32099,-11.83177375793457,,
82,32149,-12.519290924072266,,
82,32199,-12.49760627746582,,
82,32249,-13.446003913879395,,
82,32299,-12.217697143554688,,
82,32349,-12.906518936157227,,
82,32369,,0.7539863586425781,0.858299970626831
83,32399,-12.749670028686523,,
83,32449,-13.266307830810547,,
83,32499,-13.15796947479248,,
83,32549,-12.728816986083984,,
83,32599,-12.691888809204102,,
83,32649,-11.196702003479004,,
83,32699,-13.040541648864746,,
83,32749,-12.726910591125488,,
83,32759,,0.7653045058250427,0.8605999946594238
84,32799,-14.140022277832031,,
84,32849,-12.585941314697266,,
84,32899,-13.467106819152832,,
84,32949,-14.17671012878418,,
84,32999,-13.692815780639648,,
84,33049,-13.761641502380371,,
84,33099,-14.000761985778809,,
84,33149,-12.931052207946777,,
84,33149,,0.7732972502708435,0.890999972820282
85,33199,-13.984370231628418,,
85,33249,-13.9703369140625,,
85,33299,-15.153901100158691,,
85,33349,-14.551802635192871,,
85,33399,-13.006576538085938,,
85,33449,-13.284375190734863,,
85,33499,-13.194051742553711,,
85,33539,,0.784415066242218,0.9023000001907349
86,33549,-13.465968132019043,,
86,33599,-13.538877487182617,,
86,33649,-13.900619506835938,,
86,33699,-13.644145965576172,,
86,33749,-13.705856323242188,,
86,33799,-14.257553100585938,,
86,33849,-14.643896102905273,,
86,33899,-13.521398544311523,,
86,33929,,0.7935096025466919,0.9018999934196472
87,33949,-13.086811065673828,,
87,33999,-14.147285461425781,,
87,34049,-14.6404447555542,,
87,34099,-14.787372589111328,,
87,34149,-13.96299934387207,,
87,34199,-12.896600723266602,,
87,34249,-13.864787101745605,,
87,34299,-14.038604736328125,,
87,34319,,0.7998197078704834,0.90829998254776
88,34349,-13.897673606872559,,
88,34399,-15.43603229522705,,
88,34449,-14.085193634033203,,
88,34499,-14.095067977905273,,
88,34549,-14.078628540039062,,
88,34599,-14.322957992553711,,
88,34649,-13.898872375488281,,
88,34699,-14.395045280456543,,
88,34709,,0.8044070601463318,0.9144999980926514
89,34749,-14.649007797241211,,
89,34799,-14.485527992248535,,
89,34849,-14.84231185913086,,
89,34899,-14.650120735168457,,
89,34949,-13.393086433410645,,
89,34999,-14.873775482177734,,
89,35049,-14.253571510314941,,
89,35099,-14.712214469909668,,
89,35099,,0.8066906929016113,0.9168000221252441
90,35149,-13.14636516571045,,
90,35199,-13.578598976135254,,
90,35249,-11.786800384521484,,
90,35299,-11.989143371582031,,
90,35349,-12.53298282623291,,
90,35399,-12.399113655090332,,
90,35449,-11.642217636108398,,
90,35489,,0.7263020873069763,0.7833999991416931
91,35499,-11.792417526245117,,
91,35549,-11.785552024841309,,
91,35599,-12.772882461547852,,
91,35649,-11.705426216125488,,
