step,train_loss,epoch,val_loss,val_acc,test_acc,train_acc
17471,,55,1.0318725109100342,0.7055000066757202,,
17471,,55,,,0.7980999946594238,0.7445913553237915
17499,1.0155460834503174,56,,,,
17549,1.1380798816680908,56,,,,
17599,0.7616456747055054,56,,,,
17649,0.8840370178222656,56,,,,
17699,1.0350069999694824,56,,,,
17749,0.7407951951026917,56,,,,
17783,,56,1.122613787651062,0.6725999712944031,,
17783,,56,,,0.7573999762535095,0.7476211786270142
17799,0.9097473621368408,57,,,,
17849,1.01767897605896,57,,,,
17899,0.8422748446464539,57,,,,
17949,0.8148079514503479,57,,,,
17999,1.0688097476959229,57,,,,
18049,0.9034620523452759,57,,,,
18095,,57,1.0541611909866333,0.6970999836921692,,
18095,,57,,,0.7904000282287598,0.7487980723381042
18099,1.0799343585968018,58,,,,
18149,0.9011647701263428,58,,,,
18199,0.9079751372337341,58,,,,
18249,1.104215383529663,58,,,,
18299,1.120322585105896,58,,,,
18349,0.8202835321426392,58,,,,
18399,0.9405972361564636,58,,,,
18407,,58,1.169086217880249,0.6554999947547913,,
18407,,58,,,0.73580002784729,0.7444911599159241
18449,1.1011899709701538,59,,,,
18499,0.9779388904571533,59,,,,
18549,0.9548428058624268,59,,,,
18599,0.9216831922531128,59,,,,
18649,0.90751051902771,59,,,,
18699,1.0193742513656616,59,,,,
18719,,59,0.9977429509162903,0.715399980545044,,
18719,,59,,,0.805400013923645,0.7462189793586731
18749,0.710411548614502,60,,,,
18799,0.803411602973938,60,,,,
18849,1.0501761436462402,60,,,,
18899,0.8114036321640015,60,,,,
18949,0.7917660474777222,60,,,,
18999,0.7702062129974365,60,,,,
19031,,60,0.8396682739257812,0.7757999897003174,,
19031,,60,,,0.890500009059906,0.7954226732254028
19049,0.5823211073875427,61,,,,
19099,0.6183691024780273,61,,,,
19149,0.6658915877342224,61,,,,
19199,0.7357727885246277,61,,,,
19249,0.7192323803901672,61,,,,
19299,0.5971689224243164,61,,,,
19343,,61,0.8381665945053101,0.7766000032424927,,
19343,,61,,,0.8974999785423279,0.8112480044364929
19349,0.6224229335784912,62,,,,
19399,0.7968898415565491,62,,,,
19449,0.8326514959335327,62,,,,
19499,0.5407515168190002,62,,,,
19549,0.7640147805213928,62,,,,
19599,0.6626344323158264,62,,,,
19649,0.529146671295166,62,,,,
19655,,62,0.8482583165168762,0.7731000185012817,,
19655,,62,,,0.8927000164985657,0.8188852071762085
19699,0.6441200375556946,63,,,,
19749,0.4608038067817688,63,,,,
19799,0.511431097984314,63,,,,
19849,0.6779541969299316,63,,,,
19899,0.624584436416626,63,,,,
19949,0.7390833497047424,63,,,,
19967,,63,0.8535770773887634,0.7706999778747559,,
19967,,63,,,0.8895999789237976,0.8238180875778198
19999,0.6223114132881165,64,,,,
20049,0.5650708079338074,64,,,,
20099,0.45656827092170715,64,,,,
20149,0.5924670100212097,64,,,,
20199,0.574913740158081,64,,,,
20249,0.6589089035987854,64,,,,
20279,,64,0.8704087138175964,0.7656999826431274,,
20279,,64,,,0.8845000267028809,0.830003023147583
20299,0.476753294467926,65,,,,
20349,0.5141662359237671,65,,,,
20399,1.0085867643356323,65,,,,
20449,0.6085121035575867,65,,,,
20499,0.5891984105110168,65,,,,
20549,0.8800764679908752,65,,,,
20591,,65,0.8748730421066284,0.767300009727478,,
20591,,65,,,0.8858000040054321,0.8333333134651184
20599,0.7480691075325012,66,,,,
20649,0.5967878699302673,66,,,,
20699,0.6132659316062927,66,,,,
20749,0.6133242845535278,66,,,,
20799,0.6522156000137329,66,,,,
20849,0.8596962094306946,66,,,,
20899,0.6376009583473206,66,,,,
20903,,66,0.891379177570343,0.7616000175476074,,
20903,,66,,,0.8773000240325928,0.8396434187889099
20949,0.8122612237930298,67,,,,
20999,0.4974081218242645,67,,,,
21049,0.42609289288520813,67,,,,
21099,0.8446168899536133,67,,,,
21149,0.7775384187698364,67,,,,
21199,0.5935853123664856,67,,,,
21215,,67,0.9364380836486816,0.7515000104904175,,
21215,,67,,,0.8611000180244446,0.8444511294364929
21249,0.43050745129585266,68,,,,
21299,0.6792629957199097,68,,,,
21349,0.7762911915779114,68,,,,
21399,0.7297835350036621,68,,,,
21449,0.6153083443641663,68,,,,
21499,0.6128126978874207,68,,,,
21527,,68,0.9486684799194336,0.7526000142097473,,
21527,,68,,,0.8690999746322632,0.8477814793586731
21549,0.5040587782859802,69,,,,
21599,0.5327813625335693,69,,,,
21649,0.49203282594680786,69,,,,
21699,0.5302952527999878,69,,,,
21749,0.6210821866989136,69,,,,
21799,0.5877315402030945,69,,,,
21839,,69,0.9480520486831665,0.7537999749183655,,
21839,,69,,,0.8680999875068665,0.8513621687889099
21849,0.6909032464027405,70,,,,
21899,0.5624426007270813,70,,,,
21949,0.5534723401069641,70,,,,
21999,0.5199870467185974,70,,,,
22049,0.6071390509605408,70,,,,
