step,epoch,train_loss,val_acc2,val_acc1,test_acc,train_acc1,train_acc2
13649,43,0.3367934823036194,,,,,
13699,43,0.2942541539669037,,,,,
13727,43,,0.4041999876499176,0.40849998593330383,,,
13727,43,,,,0.4209849536418915,0.3871193826198578,0.3871694803237915
13749,44,0.31243643164634705,,,,,
13799,44,0.2986920177936554,,,,,
13849,44,0.2833380699157715,,,,,
13899,44,0.2630293071269989,,,,,
13949,44,0.27229973673820496,,,,,
13999,44,0.2626805007457733,,,,,
14039,44,,0.39559999108314514,0.3984000086784363,,,
14039,44,,,,0.4333465099334717,0.3895232379436493,0.3894481062889099
14049,45,0.25555115938186646,,,,,
14099,45,0.2627897560596466,,,,,
14149,45,0.2870016396045685,,,,,
14199,45,0.3101079761981964,,,,,
14249,45,0.33206984400749207,,,,,
14299,45,0.30295640230178833,,,,,
14349,45,0.2655244767665863,,,,,
14351,45,,0.39160001277923584,0.38850000500679016,,,
14351,45,,,,0.4251384437084198,0.39450621604919434,0.3940805196762085
14399,46,0.2804371416568756,,,,,
14449,46,0.3118618130683899,,,,,
14499,46,0.3244835436344147,,,,,
14549,46,0.31612539291381836,,,,,
14599,46,0.2593948245048523,,,,,
14649,46,0.2968743145465851,,,,,
14663,46,,0.40610000491142273,0.41040000319480896,,,
14663,46,,,,0.4267207384109497,0.39052483439445496,0.39012420177459717
14699,47,0.309587299823761,,,,,
14749,47,0.29564791917800903,,,,,
14799,47,0.28895509243011475,,,,,
14849,47,0.27722471952438354,,,,,
14899,47,0.2705141603946686,,,,,
14949,47,0.2442416250705719,,,,,
14975,47,,0.4092999994754791,0.3959999978542328,,,
14975,47,,,,0.4265229403972626,0.38661858439445496,0.3870442807674408
14999,48,0.29335474967956543,,,,,
15049,48,0.25168418884277344,,,,,
15099,48,0.30589598417282104,,,,,
15149,48,0.28253719210624695,,,,,
15199,48,0.2607594430446625,,,,,
15249,48,0.28373464941978455,,,,,
15287,48,,0.4124999940395355,0.4284999966621399,,,
15287,48,,,,0.44551029801368713,0.4012920558452606,0.4041716754436493
15299,49,0.26709485054016113,,,,,
15349,49,0.39123478531837463,,,,,
15399,49,0.29846587777137756,,,,,
15449,49,0.3430396020412445,,,,,
15499,49,0.2537102997303009,,,,,
15549,49,0.287041574716568,,,,,
15599,49,0.261298269033432,,,,,
15599,49,,0.44029998779296875,0.43540000915527344,,,
15599,49,,,,0.4384889304637909,0.38331329822540283,0.38075920939445496
