step,train_loss,epoch,val_acc,test_acc,train_acc
20549,-0.414296954870224,65,,,
20591,,65,0.7645000219345093,,
20591,,65,,0.890500009059906,0.8080929517745972
20599,-0.4003264904022217,66,,,
20649,-0.4405641555786133,66,,,
20699,-0.41700834035873413,66,,,
20749,-0.387570858001709,66,,,
20799,-0.38442957401275635,66,,,
20849,-0.4075279235839844,66,,,
20899,-0.4317585229873657,66,,,
20903,,66,0.7656999826431274,,
20903,,66,,0.8902999758720398,0.8084685206413269
20949,-0.38879114389419556,67,,,
20999,-0.4399875998497009,67,,,
21049,-0.423875093460083,67,,,
21099,-0.40525197982788086,67,,,
21149,-0.4323987364768982,67,,,
21199,-0.41034194827079773,67,,,
21215,,67,0.765999972820282,,
21215,,67,,0.8914999961853027,0.8089442849159241
21249,-0.3979911208152771,68,,,
21299,-0.40988144278526306,68,,,
21349,-0.39640012383461,68,,,
21399,-0.4418890178203583,68,,,
21449,-0.4279804825782776,68,,,
21499,-0.4163888990879059,68,,,
21527,,68,0.7663000226020813,,
21527,,68,,0.890999972820282,0.809645414352417
21549,-0.45166659355163574,69,,,
21599,-0.4480120539665222,69,,,
21649,-0.4296815097332001,69,,,
21699,-0.3939919173717499,69,,,
21749,-0.4117029905319214,69,,,
21799,-0.4097633361816406,69,,,
21839,,69,0.7644000053405762,,
21839,,69,,0.8894000053405762,0.8106470108032227
21849,-0.4647049903869629,70,,,
21899,-0.4318919777870178,70,,,
21949,-0.42626357078552246,70,,,
21999,-0.4621632397174835,70,,,
22049,-0.45683515071868896,70,,,
22099,-0.4380614459514618,70,,,
22149,-0.42183226346969604,70,,,
22151,,70,0.7678999900817871,,
22151,,70,,0.8931000232696533,0.8110977411270142
22199,-0.44790369272232056,71,,,
22249,-0.3769643306732178,71,,,
22299,-0.44617336988449097,71,,,
22349,-0.4251377582550049,71,,,
22399,-0.40972083806991577,71,,,
22449,-0.45835864543914795,71,,,
22463,,71,0.7651000022888184,,
22463,,71,,0.8928999900817871,0.8116987347602844
22499,-0.41961735486984253,72,,,
22549,-0.43299293518066406,72,,,
22599,-0.4784546494483948,72,,,
22649,-0.4574553370475769,72,,,
22699,-0.4300520420074463,72,,,
22749,-0.42338433861732483,72,,,
22775,,72,0.7652999758720398,,
22775,,72,,0.892799973487854,0.8132261633872986
22799,-0.3792375922203064,73,,,
22849,-0.42926573753356934,73,,,
22899,-0.4141086935997009,73,,,
22949,-0.43293970823287964,73,,,
22999,-0.4352762699127197,73,,,
23049,-0.43934470415115356,73,,,
23087,,73,0.7667999863624573,,
23087,,73,,0.8938999772071838,0.8149288892745972
23099,-0.4636574983596802,74,,,
23149,-0.4309843182563782,74,,,
23199,-0.4355616271495819,74,,,
23249,-0.41885507106781006,74,,,
23299,-0.4524983763694763,74,,,
23349,-0.43077075481414795,74,,,
23399,-0.418041467666626,74,,,
23399,,74,0.7678999900817871,,
23399,,74,,0.8924999833106995,0.815354585647583
23449,-0.4384080767631531,75,,,
23499,-0.35236895084381104,75,,,
23549,-0.4699256420135498,75,,,
23599,-0.4628506302833557,75,,,
23649,-0.3916829526424408,75,,,
23699,-0.4363758862018585,75,,,
23711,,75,0.766700029373169,,
23711,,75,,0.8928999900817871,0.8153796195983887
23749,-0.44656404852867126,76,,,
23799,-0.4342091977596283,76,,,
23849,-0.4349922835826874,76,,,
23899,-0.3927680253982544,76,,,
23949,-0.456969290971756,76,,,
23999,-0.4356333017349243,76,,,
24023,,76,0.7681000232696533,,
24023,,76,,0.8944000005722046,0.8162559866905212
24049,-0.3974571228027344,77,,,
24099,-0.46632838249206543,77,,,
24149,-0.44684070348739624,77,,,
24199,-0.4287053048610687,77,,,
24249,-0.43457919359207153,77,,,
24299,-0.45458000898361206,77,,,
24335,,77,0.767799973487854,,
24335,,77,,0.8946999907493591,0.8157802224159241
24349,-0.42328929901123047,78,,,
24399,-0.4523530602455139,78,,,
24449,-0.40182191133499146,78,,,
24499,-0.4327748417854309,78,,,
24549,-0.44442129135131836,78,,,
24599,-0.4282471835613251,78,,,
24647,,78,0.765999972820282,,
24647,,78,,0.8931999802589417,0.8165314793586731
24649,-0.4231700301170349,79,,,
24699,-0.4517001211643219,79,,,
24749,-0.4277012348175049,79,,,
24799,-0.4519079327583313,79,,,
24849,-0.45166271924972534,79,,,
24899,-0.4242916703224182,79,,,
24949,-0.4312204420566559,79,,,
24959,,79,0.7674000263214111,,
24959,,79,,0.8956999778747559,0.817457914352417
24999,-0.45336151123046875,80,,,
25049,-0.43018054962158203,80,,,
25099,-0.42946872115135193,80,,,
25149,-0.4453836977481842,80,,,
25199,-0.44301673769950867,80,,,
25249,-0.4182702302932739,80,,,
25271,,80,0.7671999931335449,,
25271,,80,,0.8928999900817871,0.8173828125
25299,-0.3989943265914917,81,,,
25349,-0.44097912311553955,81,,,
25399,-0.4475703835487366,81,,,
