step,epoch,train_loss,val_loss,val_acc,test_acc,train_acc
25499,81,0.1245885044336319,,,,
25549,81,0.167168989777565,,,,
25583,81,,0.7197096347808838,0.8342999815940857,,
25583,81,,,,0.8804000020027161,0.9451121687889099
25599,82,0.21798929572105408,,,,
25649,82,0.13698707520961761,,,,
25699,82,0.174006849527359,,,,
25749,82,0.12333295494318008,,,,
25799,82,0.09191323816776276,,,,
25849,82,0.20675215125083923,,,,
25895,82,,0.7471234798431396,0.8285999894142151,,
25895,82,,,,0.8772000074386597,0.9456380009651184
25899,83,0.16644670069217682,,,,
25949,83,0.19850215315818787,,,,
25999,83,0.22184063494205475,,,,
26049,83,0.13903063535690308,,,,
26099,83,0.14446000754833221,,,,
26149,83,0.111984483897686,,,,
26199,83,0.19210335612297058,,,,
26207,83,,0.7416765689849854,0.8313000202178955,,
26207,83,,,,0.8806999921798706,0.9478164911270142
26249,84,0.16193614900112152,,,,
26299,84,0.19341662526130676,,,,
26349,84,0.1927570104598999,,,,
26399,84,0.2620634138584137,,,,
26449,84,0.16414286196231842,,,,
26499,84,0.13909561932086945,,,,
26519,84,,0.7642634510993958,0.8263999819755554,,
26519,84,,,,0.8759999871253967,0.9476161599159241
