epoch,train_loss,step,val_acc,val_loss,train_acc,test_acc
46,-14.475183486938477,14499,,,,
46,-15.200039863586426,14549,,,,
46,-13.540943145751953,14599,,,,
46,-13.937528610229492,14649,,,,
46,,14663,0.8435999751091003,1.0593928098678589,,
46,,14663,,,0.8643078804016113,0.8959000110626221
47,-14.494574546813965,14699,,,,
47,-13.603123664855957,14749,,,,
47,-15.759719848632812,14799,,,,
47,-14.26420783996582,14849,,,,
47,-15.100298881530762,14899,,,,
47,-14.538311958312988,14949,,,,
47,,14975,0.8452000021934509,1.0776245594024658,,
47,,14975,,,0.8726462125778198,0.9003000259399414
48,-13.545757293701172,14999,,,,
48,-14.769843101501465,15049,,,,
48,-15.675915718078613,15099,,,,
48,-15.44301700592041,15149,,,,
48,-14.424707412719727,15199,,,,
48,-14.712722778320312,15249,,,,
48,,15287,0.8515999913215637,1.0357184410095215,,
48,,15287,,,0.8774789571762085,0.9038000106811523
49,-13.217345237731934,15299,,,,
49,-15.053890228271484,15349,,,,
49,-13.988411903381348,15399,,,,
49,-14.875765800476074,15449,,,,
49,-14.518177032470703,15499,,,,
49,-15.997719764709473,15549,,,,
49,-14.262822151184082,15599,,,,
49,,15599,0.8529999852180481,1.036138892173767,,
49,,15599,,,0.8816105723381042,0.9079999923706055
50,-13.74431037902832,15649,,,,
50,-13.511982917785645,15699,,,,
50,-11.568166732788086,15749,,,,
50,-13.588811874389648,15799,,,,
50,-12.88997745513916,15849,,,,
50,-13.642412185668945,15899,,,,
50,,15911,0.7580000162124634,1.915738821029663,,
50,,15911,,,0.8014573454856873,0.7980999946594238
51,-12.368522644042969,15949,,,,
51,-12.574800491333008,15999,,,,
51,-13.582627296447754,16049,,,,
51,-12.579207420349121,16099,,,,
51,-11.447948455810547,16149,,,,
51,-13.846107482910156,16199,,,,
51,,16223,0.7930999994277954,1.5330705642700195,,
51,,16223,,,0.8062399625778198,0.8346999883651733
52,-13.225924491882324,16249,,,,
52,-13.778568267822266,16299,,,,
52,-14.057381629943848,16349,,,,
52,-14.134193420410156,16399,,,,
52,-12.309795379638672,16449,,,,
52,-13.22706413269043,16499,,,,
