epoch,step,train_loss,val_loss,val_acc,train_acc,test_acc
62,19449,0.4904816150665283,,,,
62,19499,0.43024295568466187,,,,
62,19549,0.3652953803539276,,,,
62,19599,0.2080678641796112,,,,
62,19649,0.40413862466812134,,,,
62,19655,,0.5463244915008545,0.8532999753952026,,
62,19655,,,,0.8969601392745972,0.9003999829292297
63,19699,0.3294019401073456,,,,
63,19749,0.3219166696071625,,,,
63,19799,0.25604233145713806,,,,
63,19849,0.4288126528263092,,,,
63,19899,0.49515989422798157,,,,
63,19949,0.36820533871650696,,,,
63,19967,,0.5444493889808655,0.8553000092506409,,
63,19967,,,,0.9023687839508057,0.9031000137329102
64,19999,0.46358752250671387,,,,
64,20049,0.2782076895236969,,,,
64,20099,0.38203251361846924,,,,
64,20149,0.40746134519577026,,,,
64,20199,0.3347511291503906,,,,
64,20249,0.36828428506851196,,,,
64,20279,,0.5501151084899902,0.8544999957084656,,
64,20279,,,,0.9076522588729858,0.902899980545044
65,20299,0.2644635736942291,,,,
65,20349,0.1840495765209198,,,,
65,20399,0.2925422489643097,,,,
65,20449,0.2148405909538269,,,,
65,20499,0.43328699469566345,,,,
65,20549,0.40617871284484863,,,,
65,20591,,0.5630574226379395,0.8500000238418579,,
65,20591,,,,0.9139372706413269,0.8974999785423279
66,20599,0.36643287539482117,,,,
66,20649,0.38725340366363525,,,,
66,20699,0.3928825259208679,,,,
66,20749,0.41942960023880005,,,,
66,20799,0.3807750344276428,,,,
66,20849,0.22157591581344604,,,,
66,20899,0.3013206124305725,,,,
66,20903,,0.5802997350692749,0.8453999757766724,,
66,20903,,,,0.9169921875,0.8952999711036682
67,20949,0.3110250234603882,,,,
67,20999,0.1602744311094284,,,,
67,21049,0.23608370125293732,,,,
67,21099,0.24783377349376678,,,,
67,21149,0.3509586751461029,,,,
67,21199,0.24490566551685333,,,,
67,21215,,0.5724115967750549,0.8508999943733215,,
67,21215,,,,0.9183694124221802,0.8984000086784363
68,21249,0.15814027190208435,,,,
68,21299,0.23697374761104584,,,,
68,21349,0.2553190588951111,,,,
68,21399,0.3911035656929016,,,,
68,21449,0.25140270590782166,,,,
68,21499,0.2561246156692505,,,,
68,21527,,0.6119566559791565,0.8410000205039978,,
68,21527,,,,0.9250300526618958,0.8838000297546387
69,21549,0.2565397620201111,,,,
69,21599,0.3654630780220032,,,,
69,21649,0.2933427691459656,,,,
69,21699,0.12351293116807938,,,,
69,21749,0.4162117540836334,,,,
69,21799,0.25960639119148254,,,,
69,21839,,0.617511510848999,0.8468000292778015,,
69,21839,,,,0.9274088740348816,0.8912000060081482
70,21849,0.19791364669799805,,,,
70,21899,0.13951554894447327,,,,
70,21949,0.26636797189712524,,,,
70,21999,0.2247391939163208,,,,
70,22049,0.2686275839805603,,,,
70,22099,0.23785656690597534,,,,
70,22149,0.2144296020269394,,,,
70,22151,,0.6423470377922058,0.8438000082969666,,
70,22151,,,,0.9301882982254028,0.8891000151634216
71,22199,0.25206661224365234,,,,
71,22249,0.18370215594768524,,,,
71,22299,0.25133079290390015,,,,
71,22349,0.21153031289577484,,,,
71,22399,0.2365696132183075,,,,
71,22449,0.2832033038139343,,,,
71,22463,,0.6467173099517822,0.8373000025749207,,
71,22463,,,,0.931715726852417,0.8802000284194946
72,22499,0.2278798371553421,,,,
72,22549,0.15899914503097534,,,,
72,22599,0.3269329071044922,,,,
72,22649,0.24728360772132874,,,,
72,22699,0.2574879825115204,,,,
72,22749,0.27009662985801697,,,,
72,22775,,0.6565150618553162,0.8396000266075134,,
72,22775,,,,0.9343950152397156,0.8834999799728394
73,22799,0.16582632064819336,,,,
73,22849,0.1876222789287567,,,,
73,22899,0.1545937955379486,,,,
73,22949,0.28759896755218506,,,,
73,22999,0.17453381419181824,,,,
73,23049,0.3179886043071747,,,,
73,23087,,0.6812558770179749,0.8317999839782715,,
73,23087,,,,0.9342698454856873,0.8730999827384949
74,23099,0.36458995938301086,,,,
74,23149,0.23160967230796814,,,,
74,23199,0.2472015768289566,,,,
74,23249,0.24483507871627808,,,,
74,23299,0.22050894796848297,,,,
74,23349,0.21600687503814697,,,,
74,23399,0.24605080485343933,,,,
74,23399,,0.6824875473976135,0.8357999920845032,,
74,23399,,,,0.9372496008872986,0.8779000043869019
75,23449,0.11912205815315247,,,,
75,23499,0.2614966630935669,,,,
75,23549,0.31396767497062683,,,,
75,23599,0.12400705367326736,,,,
75,23649,0.21304164826869965,,,,
75,23699,0.12726689875125885,,,,
75,23711,,0.6953104734420776,0.8391000032424927,,
75,23711,,,,0.9392778277397156,0.8863999843597412
76,23749,0.201582133769989,,,,
76,23799,0.23260968923568726,,,,
76,23849,0.14206558465957642,,,,
76,23899,0.1296929270029068,,,,
76,23949,0.17271976172924042,,,,
76,23999,0.21434488892555237,,,,
76,24023,,0.7471907734870911,0.8294000029563904,,
76,24023,,,,0.9421574473381042,0.871999979019165
77,24049,0.15375037491321564,,,,
77,24099,0.22383570671081543,,,,
77,24149,0.20413470268249512,,,,
77,24199,0.20099301636219025,,,,
77,24249,0.22161585092544556,,,,
77,24299,0.24048973619937897,,,,
77,24335,,0.7420452833175659,0.8288000226020813,,
77,24335,,,,0.9393278956413269,0.8773999810218811
78,24349,0.11269493401050568,,,,
78,24399,0.14275899529457092,,,,
78,24449,0.24914643168449402,,,,
78,24499,0.17087793350219727,,,,
78,24549,0.19009838998317719,,,,
78,24599,0.15261110663414001,,,,
78,24647,,0.7394722104072571,0.8323000073432922,,
78,24647,,,,0.942307710647583,0.8833000063896179
79,24649,0.14786459505558014,,,,
79,24699,0.11838122457265854,,,,
79,24749,0.18494080007076263,,,,
79,24799,0.22245892882347107,,,,
79,24849,0.29119160771369934,,,,
79,24899,0.21639208495616913,,,,
79,24949,0.13965754210948944,,,,
79,24959,,0.7379783391952515,0.8251000046730042,,
79,24959,,,,0.9387519955635071,0.8711000084877014
80,24999,0.19200468063354492,,,,
80,25049,0.3234173059463501,,,,
80,25099,0.19537264108657837,,,,
80,25149,0.19437414407730103,,,,
80,25199,0.12276376783847809,,,,
80,25249,0.22282351553440094,,,,
80,25271,,0.7286056876182556,0.8313000202178955,,
80,25271,,,,0.9447616338729858,0.8769999742507935
81,25299,0.1763981580734253,,,,
81,25349,0.17649421095848083,,,,
81,25399,0.1634783148765564,,,,
81,25449,0.1499655693769455,,,,
81,25499,0.20370903611183167,,,,
81,25549,0.08942776918411255,,,,
81,25583,,0.8116847276687622,0.82669997215271,,
81,25583,,,,0.9468148946762085,0.868399977684021
82,25599,0.1831972599029541,,,,
82,25649,0.20371201634407043,,,,
82,25699,0.1594834327697754,,,,
82,25749,0.19106334447860718,,,,
82,25799,0.23665109276771545,,,,
