epoch,mix_match_loss,step,test_acc,train_acc,train_loss
85,2.643993377685547,34949,,,
85,2.7132089138031006,34999,,,
85,2.8453896045684814,35049,,,
85,2.294822931289673,35099,,,
85,,35104,0.5429999828338623,,
86,2.008070945739746,35149,,,
86,1.3048630952835083,35199,,,
86,1.2183207273483276,35249,,,
86,2.1645545959472656,35299,,,
86,2.8120741844177246,35349,,,
86,1.9798685312271118,35399,,,
86,2.2132349014282227,35449,,,
86,2.358675956726074,35499,,,
86,,35508,0.5357999801635742,,
87,1.5437945127487183,35549,,,
87,2.5245513916015625,35599,,,
87,2.8488235473632812,35649,,,
87,2.233997106552124,35699,,,
87,2.454318046569824,35749,,,
87,2.138681173324585,35799,,,
87,2.86099910736084,35849,,,
87,2.2073168754577637,35899,,,
87,,35915,0.5594000220298767,,
88,2.3754260540008545,35949,,,
88,2.88486909866333,35999,,,
88,2.643130302429199,36049,,,
88,2.258345365524292,36099,,,
88,2.746577501296997,36149,,,
88,2.447563886642456,36199,,,
88,2.4648361206054688,36249,,,
88,1.5590081214904785,36299,,,
88,,36312,0.555400013923645,,
