step,epoch,train_loss,val_loss,val_acc,train_acc,test_acc
14649,70,0.16049112379550934,,,,
14699,70,0.09691135585308075,,,,
14749,70,0.11947988718748093,,,,
14799,70,0.24908782541751862,,,,
14808,70,,2.7730202674865723,0.6171000003814697,,
14808,70,,,,0.9419825673103333,0.5735759735107422
14849,71,0.08343864232301712,,,,
14899,71,0.1169716939330101,,,,
14949,71,0.2423117309808731,,,,
14991,71,,2.780771493911743,0.6158000230789185,,
14991,71,,,,0.9448428750038147,0.574960470199585
14999,72,0.1086089015007019,,,,
15049,72,0.08061076700687408,,,,
15099,72,0.27855920791625977,,,,
15149,72,0.16446195542812347,,,,
15175,72,,2.7745933532714844,0.6223000288009644,,
15175,72,,,,0.946883499622345,0.5817840099334717
15199,73,0.1771421581506729,,,,
15249,73,0.09613917768001556,,,,
15299,73,0.21069934964179993,,,,
15349,73,0.2600155174732208,,,,
15361,73,,2.7625486850738525,0.6219000220298767,,
15361,73,,,,0.9459845423698425,0.5804983973503113
15399,74,0.12019670009613037,,,,
15449,74,0.13066059350967407,,,,
15499,74,0.15049311518669128,,,,
15547,74,,2.7597484588623047,0.621399998664856,,
15547,74,,,,0.9474966526031494,0.5800039768218994
15549,75,0.21065989136695862,,,,
15599,75,0.198698952794075,,,,
15649,75,0.18667542934417725,,,,
15699,75,0.11763635277748108,,,,
15733,75,,2.767789602279663,0.6245999932289124,,
15733,75,,,,0.9473286271095276,0.5805972814559937
15749,76,0.13928015530109406,,,,
15799,76,0.13460403680801392,,,,
15849,76,0.30754396319389343,,,,
15899,76,0.1815713346004486,,,,
15921,76,,2.7496449947357178,0.6262000203132629,,
15921,76,,,,0.9462267160415649,0.5828718543052673
15949,77,0.1788303554058075,,,,
15999,77,0.13842004537582397,,,,
16049,77,0.2032124400138855,,,,
16099,77,0.19191209971904755,,,,
16108,77,,2.7298059463500977,0.6263999938964844,,
16108,77,,,,0.9452289342880249,0.5915743708610535
16149,78,0.2531091570854187,,,,
16199,78,0.19078905880451202,,,,
16249,78,0.15980404615402222,,,,
16296,78,,2.701066493988037,0.6243000030517578,,
16296,78,,,,0.9451878070831299,0.5886076092720032
16299,79,0.1311442106962204,,,,
16349,79,0.19910047948360443,,,,
