epoch,train_loss,step,train_acc,test_acc
87,-15.263368606567383,34049,,
87,-14.638055801391602,34099,,
87,-15.435030937194824,34149,,
87,-13.657032012939453,34199,,
87,-14.33211612701416,34249,,
87,-15.339055061340332,34299,,
87,,34319,0.8855168223381042,0.9199000000953674
88,-15.381464958190918,34349,,
88,-14.806489944458008,34399,,
88,-15.093040466308594,34449,,
88,-15.472784996032715,34499,,
88,-15.478944778442383,34549,,
88,-14.776269912719727,34599,,
88,-14.552505493164062,34649,,
88,-14.909748077392578,34699,,
88,,34709,0.8916866779327393,0.9221000075340271
89,-16.47336196899414,34749,,
89,-14.69536304473877,34799,,
89,-16.55335235595703,34849,,
89,-15.770590782165527,34899,,
89,-16.595134735107422,34949,,
89,-15.74006175994873,34999,,
89,-15.865601539611816,35049,,
89,-16.56790542602539,35099,,
89,,35099,0.8944311141967773,0.925000011920929
90,-14.432929039001465,35149,,
90,-12.70537281036377,35199,,
90,-15.212589263916016,35249,,
90,-13.251325607299805,35299,,
90,-13.397249221801758,35349,,
90,-14.343281745910645,35399,,
90,-12.047287940979004,35449,,
90,,35489,0.8096354007720947,0.8169999718666077
91,-13.104973793029785,35499,,
91,-14.498188018798828,35549,,
91,-13.423137664794922,35599,,
91,-13.991031646728516,35649,,
91,-14.614538192749023,35699,,
91,-14.33242130279541,35749,,
91,-13.702428817749023,35799,,
91,-13.561034202575684,35849,,
91,,35879,0.818629801273346,0.8087000250816345
92,-13.511822700500488,35899,,
92,-14.880276679992676,35949,,
92,-14.130772590637207,35999,,
92,-14.798116683959961,36049,,
92,-13.951489448547363,36099,,
92,-14.421462059020996,36149,,
92,-14.334786415100098,36199,,
92,-13.747273445129395,36249,,
92,,36269,0.8348557949066162,0.8482999801635742
93,-14.404668807983398,36299,,
93,-15.378252029418945,36349,,
93,-14.852956771850586,36399,,
93,-13.528911590576172,36449,,
